                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0402,                  1.753,                 1.2064,                0.73062,                0.81401,                0.85982,                0.64405,                0.84139,                 1.8301,                0.90144,              0.0003125,              0.0003125,              0.0003125
                      2,                0.97505,                 1.1495,                  1.143,                 0.4594,                0.84245,                0.66656,                0.43711,                 1.2536,                 8.8109,                 1.5939,             0.00060594,             0.00060594,             0.00060594
                      3,                 1.0913,                 1.1421,                 1.2173,                0.53866,                0.85871,                0.78032,                 0.5472,                 1.1252,                 7.9458,                 1.3943,             0.00086721,             0.00086721,             0.00086721
                      4,                 1.2355,                 1.3968,                 1.3095,                0.61386,                0.72263,                0.75208,                 0.5163,                 1.1716,                 4.4391,                 1.4197,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.1053,                 1.3053,                 1.2327,                0.61855,                0.76944,                0.80778,                0.53922,                 1.1938,                 3.5415,                 1.3874,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0789,                 1.0269,                 1.1799,                0.86761,                0.68822,                0.86012,                0.55423,                 1.2105,                 1.8644,                 1.2403,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0999,                 0.9383,                   1.19,                0.73536,                0.84272,                0.85649,                0.57152,                 1.0937,                 1.5401,                 1.2088,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.0228,                0.83655,                 1.1357,                0.76454,                 0.7852,                0.84807,                0.56957,                 1.0489,                 1.4193,                 1.1999,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.0361,                0.83948,                 1.1842,                0.88206,                0.82584,                 0.9004,                0.64777,                0.97149,                0.86901,                 1.1566,               0.000755,               0.000755,               0.000755
                     10,                0.96772,                0.72693,                  1.115,                0.88705,                0.84398,                0.89163,                0.66134,                0.92905,                0.76851,                  1.135,             0.00069313,             0.00069313,             0.00069313
                     11,                0.89813,                0.77785,                 1.0811,                0.82946,                0.88662,                0.88449,                0.63991,                0.97705,                 0.7763,                 1.1216,             0.00063125,             0.00063125,             0.00063125
                     12,                0.88011,                0.70759,                 1.0473,                0.87507,                0.84913,                0.90305,                0.65914,                0.92235,                0.74952,                 1.1138,             0.00056938,             0.00056938,             0.00056938
                     13,                0.88038,                0.65219,                 1.0429,                0.89646,                0.86072,                0.90005,                0.67293,                0.87426,                0.78128,                  1.081,              0.0005075,              0.0005075,              0.0005075
                     14,                0.78688,                0.61236,                 1.0106,                0.83391,                0.86387,                 0.9136,                0.71231,                0.85806,                0.74347,                 1.0523,             0.00044563,             0.00044563,             0.00044563
                     15,                0.75949,                0.59191,                 1.0007,                0.91084,                0.83629,                0.90253,                0.71672,                0.78698,                0.68573,                  0.975,             0.00038375,             0.00038375,             0.00038375
                     16,                0.73467,                0.54808,                0.96383,                0.93227,                0.81652,                0.90495,                0.71671,                0.80141,                0.65875,                 0.9923,             0.00032188,             0.00032188,             0.00032188
                     17,                0.69395,                0.51221,                0.94282,                0.92647,                0.83665,                0.91747,                0.72418,                0.82819,                 0.6362,                  1.014,                0.00026,                0.00026,                0.00026
                     18,                0.69048,                0.48991,                0.94874,                0.92779,                 0.8568,                0.92906,                0.75031,                0.81659,                0.62357,                 1.0012,             0.00019813,             0.00019813,             0.00019813
                     19,                0.66131,                0.46404,                0.94081,                0.92854,                0.86665,                0.93604,                0.74441,                0.80052,                0.59353,                0.99296,             0.00013625,             0.00013625,             0.00013625
                     20,                0.63591,                0.46021,                0.92637,                0.90243,                0.91049,                0.94092,                 0.7581,                0.77163,                0.57014,                0.98229,             7.4375e-05,             7.4375e-05,             7.4375e-05
